URL,Parcel ID,Tax Deed Date,Tax Deed Price,Bldg Value,Land Value,FLIP Date,FLIP Price,Instrument,Qualified,Vacant/Imp
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=08-3N-24-2380-0202-0070,08-3N-24-2380-0202-0070,"Tuesday March 25, 2025","$1,942.75",$0,"$2,500",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=41-4N-23-2100-0002-0050,41-4N-23-2100-0002-0050,"Tuesday August 19, 2025","$10,400.00","$39,266","$30,000",2025-09-09,"$4,700",TX,U,I
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=23-1N-23-034D-0006-0000,23-1N-23-034D-0006-0000,"Tuesday August 19, 2025","$55,100.00",$0,"$77,880",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=16-1N-25-2912-0001-0011,16-1N-25-2912-0001-0011,"Tuesday August 26, 2025","$39,200.00","$12,000","$37,500",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=41-4N-23-2100-0002-0050,41-4N-23-2100-0002-0050,"Tuesday September 9, 2025","$4,656.56","$39,266","$30,000",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=11-1N-24-2180-0056-0010,11-1N-24-2180-0056-0010,"Tuesday September 16, 2025","$45,100.00","$12,000","$37,500",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=22-4N-23-0000-0003-0030,22-4N-23-0000-0003-0030,"Tuesday September 16, 2025","$4,263.48",$0,"$15,000",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=00-00-31-1800-0158-0070,00-00-31-1800-0158-0070,"Tuesday September 23, 2025","$37,100.00",$0,"$46,428",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=42-2N-27-0000-0009-0010,42-2N-27-0000-0009-0010,"Tuesday September 23, 2025","$32,100.00","$6,816","$22,500",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=00-00-31-1800-0157-0110,00-00-31-1800-0157-0110,"Tuesday September 30, 2025","$211,200.00","$111,544","$110,000",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=35-4N-25-4220-0003-0030,35-4N-25-4220-0003-0030,"Tuesday December 16, 2025","$2,788.38",$0,"$9,100",N/A,N/A,N/A,N/A,N/A
https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=37-4N-24-0000-0001-0080,37-4N-24-0000-0001-0080,"Tuesday January 6, 2026","$50,200.00","$33,268","$37,200",N/A,N/A,N/A,N/A,N/A
